Subject_ID,FINAL_QC
ABIDE_CMU_50642,0.5
ABIDE_CMU_50643,1
ABIDE_CMU_50645,1
ABIDE_CMU_50646,1
ABIDE_CMU_50647,1
ABIDE_CMU_50648,1
ABIDE_CMU_50649,1
ABIDE_CMU_50650,1
ABIDE_CMU_50651,0.5
ABIDE_CMU_50652,0.5
ABIDE_CMU_50653,1
ABIDE_CMU_50654,1
ABIDE_CMU_50656,1
ABIDE_CMU_50657,0.5
ABIDE_CMU_50658,1
ABIDE_CMU_50659,1
ABIDE_CMU_50660,0.5
ABIDE_CMU_50661,0.5
ABIDE_CMU_50663,1
ABIDE_CMU_50664,1
ABIDE_CMU_50665,1
ABIDE_CMU_50666,1
ABIDE_CMU_50668,1
ABIDE_CMU_50669,1
ABIDE_KKI_50773,1
ABIDE_KKI_50774,1
ABIDE_KKI_50775,0
ABIDE_KKI_50776,0
ABIDE_KKI_50777,1
ABIDE_KKI_50778,1
ABIDE_KKI_50781,1
ABIDE_KKI_50782,1
ABIDE_KKI_50783,0
ABIDE_KKI_50790,1
ABIDE_KKI_50791,0.5
ABIDE_KKI_50796,1
ABIDE_KKI_50798,0
ABIDE_KKI_50799,1
ABIDE_KKI_50801,0.5
ABIDE_KKI_50802,0.5
ABIDE_KKI_50803,0.5
ABIDE_KKI_50805,0
ABIDE_KKI_50807,1
ABIDE_KKI_50809,1
ABIDE_KKI_50810,0.5
ABIDE_KKI_50813,1
ABIDE_KKI_50814,1
ABIDE_KKI_50818,1
ABIDE_KKI_50819,1
ABIDE_KKI_50820,1
ABIDE_KKI_50823,1
ABIDE_MAX_MUN_51318,0.5
ABIDE_MAX_MUN_51319,1
ABIDE_MAX_MUN_51320,1
ABIDE_MAX_MUN_51321,0.5
ABIDE_MAX_MUN_51322,1
ABIDE_MAX_MUN_51323,1
ABIDE_MAX_MUN_51324,1
ABIDE_MAX_MUN_51325,1
ABIDE_MAX_MUN_51326,1
ABIDE_MAX_MUN_51327,1
ABIDE_MAX_MUN_51328,0.5
ABIDE_MAX_MUN_51329,1
ABIDE_MAX_MUN_51330,1
ABIDE_MAX_MUN_51331,1
ABIDE_MAX_MUN_51332,0
ABIDE_MAX_MUN_51333,0
ABIDE_MAX_MUN_51334,0
ABIDE_MAX_MUN_51335,0.5
ABIDE_MAX_MUN_51338,1
ABIDE_MAX_MUN_51339,1
ABIDE_MAX_MUN_51340,1
ABIDE_MAX_MUN_51341,1
ABIDE_MAX_MUN_51343,1
ABIDE_MAX_MUN_51345,1
ABIDE_MAX_MUN_51346,1
ABIDE_MAX_MUN_51347,1
ABIDE_MAX_MUN_51354,1
ABIDE_MAX_MUN_51357,1
ABIDE_MAX_MUN_51359,1
ABIDE_MAX_MUN_51360,1
ABIDE_MAX_MUN_51362,1
ABIDE_MAX_MUN_51363,1
ABIDE_MAX_MUN_51364,1
ABIDE_MAX_MUN_51366,1
ABIDE_MAX_MUN_51367,1
ABIDE_MAX_MUN_51368,0.5
ABIDE_MAX_MUN_51370,1
ABIDE_MAX_MUN_51371,1
ABIDE_MAX_MUN_51372,1
ABIDE_MAX_MUN_51606,1
ABIDE_MAX_MUN_51607,0.5
ABIDE_NYU_50956,1
ABIDE_NYU_50959,1
ABIDE_NYU_50960,1
ABIDE_NYU_50964,0.5
ABIDE_NYU_50966,1
ABIDE_NYU_50967,1
ABIDE_NYU_50970,1
ABIDE_NYU_50971,1
ABIDE_NYU_50972,1
ABIDE_NYU_50973,1
ABIDE_NYU_50980,1
ABIDE_NYU_50988,1
ABIDE_NYU_50991,1
ABIDE_NYU_50993,1
ABIDE_NYU_50994,0.5
ABIDE_NYU_50995,1
ABIDE_NYU_50996,1
ABIDE_NYU_50999,0.5
ABIDE_NYU_51000,1
ABIDE_NYU_51002,1
ABIDE_NYU_51007,0.5
ABIDE_NYU_51010,1
ABIDE_NYU_51013,1
ABIDE_NYU_51015,1
ABIDE_NYU_51016,1
ABIDE_NYU_51018,1
ABIDE_NYU_51019,1
ABIDE_NYU_51020,1
ABIDE_NYU_51023,0
ABIDE_NYU_51024,1
ABIDE_NYU_51025,1
ABIDE_NYU_51026,1
ABIDE_NYU_51029,1
ABIDE_NYU_51038,0
ABIDE_NYU_51039,1
ABIDE_NYU_51040,1
ABIDE_NYU_51044,1
ABIDE_NYU_51046,1
ABIDE_NYU_51047,1
ABIDE_NYU_51048,1
ABIDE_NYU_51049,1
ABIDE_NYU_51053,1
ABIDE_NYU_51056,1
ABIDE_NYU_51057,1
ABIDE_NYU_51058,1
ABIDE_NYU_51059,1
ABIDE_NYU_51060,1
ABIDE_NYU_51061,1
ABIDE_NYU_51062,1
ABIDE_NYU_51063,1
ABIDE_NYU_51067,1
ABIDE_NYU_51069,1
ABIDE_NYU_51072,0.5
ABIDE_NYU_51074,1
ABIDE_NYU_51076,1
ABIDE_NYU_51077,1
ABIDE_NYU_51078,1
ABIDE_NYU_51079,0.5
ABIDE_NYU_51086,0.5
ABIDE_NYU_51088,1
ABIDE_NYU_51093,1
ABIDE_NYU_51094,0.5
ABIDE_NYU_51096,1
ABIDE_NYU_51102,1
ABIDE_NYU_51104,1
ABIDE_NYU_51106,0.5
ABIDE_NYU_51107,1
ABIDE_NYU_51108,1
ABIDE_NYU_51110,1
ABIDE_NYU_51114,1
ABIDE_NYU_51115,1
ABIDE_NYU_51117,1
ABIDE_NYU_51119,1
ABIDE_NYU_51123,0.5
ABIDE_NYU_51124,1
ABIDE_NYU_51125,1
ABIDE_NYU_51128,1
ABIDE_NYU_51129,1
ABIDE_NYU_51130,1
ABIDE_NYU_51131,1
ABIDE_NYU_51146,1
ABIDE_NYU_51147,1
ABIDE_NYU_51148,1
ABIDE_NYU_51149,1
ABIDE_NYU_51151,1
ABIDE_NYU_51154,0.5
ABIDE_NYU_51155,1
ABIDE_NYU_51156,1
ABIDE_OHSU_50142,1
ABIDE_OHSU_50143,1
ABIDE_OHSU_50144,1
ABIDE_OHSU_50145,1
ABIDE_OHSU_50147,1
ABIDE_OHSU_50148,1
ABIDE_OHSU_50149,1
ABIDE_OHSU_50150,1
ABIDE_OHSU_50152,1
ABIDE_OHSU_50156,1
ABIDE_OHSU_50160,1
ABIDE_OHSU_50161,1
ABIDE_OHSU_50162,1
ABIDE_OHSU_50165,1
ABIDE_OHSU_50167,0.5
ABIDE_OLIN_50104,1
ABIDE_OLIN_50105,0
ABIDE_OLIN_50107,1
ABIDE_OLIN_50111,0.5
ABIDE_OLIN_50112,1
ABIDE_OLIN_50113,1
ABIDE_OLIN_50114,1
ABIDE_OLIN_50115,1
ABIDE_OLIN_50116,1
ABIDE_OLIN_50117,1
ABIDE_OLIN_50118,0.5
ABIDE_OLIN_50119,1
ABIDE_OLIN_50121,1
ABIDE_OLIN_50123,1
ABIDE_OLIN_50124,1
ABIDE_OLIN_50125,1
ABIDE_OLIN_50127,1
ABIDE_OLIN_50128,1
ABIDE_OLIN_50130,1
ABIDE_OLIN_50131,1
ABIDE_OLIN_50132,1
ABIDE_OLIN_50134,1
ABIDE_PITT_50002,1
ABIDE_PITT_50004,1
ABIDE_PITT_50005,1
ABIDE_PITT_50008,1
ABIDE_PITT_50009,1
ABIDE_PITT_50010,1
ABIDE_PITT_50011,1
ABIDE_PITT_50012,1
ABIDE_PITT_50014,1
ABIDE_PITT_50016,1
ABIDE_PITT_50019,1
ABIDE_PITT_50024,1
ABIDE_PITT_50025,1
ABIDE_PITT_50027,1
ABIDE_PITT_50029,1
ABIDE_PITT_50030,1
ABIDE_PITT_50032,1
ABIDE_PITT_50034,1
ABIDE_PITT_50035,1
ABIDE_PITT_50037,1
ABIDE_PITT_50038,0.5
ABIDE_PITT_50040,1
ABIDE_PITT_50041,1
ABIDE_PITT_50042,1
ABIDE_PITT_50043,1
ABIDE_PITT_50044,1
ABIDE_PITT_50045,0.5
ABIDE_PITT_50046,1
ABIDE_PITT_50047,1
ABIDE_PITT_50050,1
ABIDE_PITT_50052,0.5
ABIDE_PITT_50055,1
ABIDE_PITT_50056,1
ABIDE_PITT_50057,1
ABIDE_PITT_50058,1
ABIDE_PITT_50059,1
ABIDE_PITT_50060,1
ABIDE_SDSU_50183,1
ABIDE_SDSU_50187,1
ABIDE_SDSU_50193,1
ABIDE_SDSU_50196,1
ABIDE_SDSU_50199,1
ABIDE_SDSU_50203,1
ABIDE_SDSU_50205,1
ABIDE_SDSU_50214,1
ABIDE_UCLA_1_51204,1
ABIDE_UCLA_1_51205,1
ABIDE_UCLA_1_51206,1
ABIDE_UCLA_1_51208,1
ABIDE_UCLA_1_51214,1
ABIDE_UCLA_1_51218,1
ABIDE_UCLA_1_51222,0
ABIDE_UCLA_1_51223,1
ABIDE_UCLA_1_51224,1
ABIDE_UCLA_1_51229,1
ABIDE_UCLA_1_51230,1
ABIDE_UCLA_1_51231,1
ABIDE_UCLA_1_51235,1
ABIDE_UCLA_1_51237,1
ABIDE_UCLA_1_51240,1
ABIDE_UCLA_1_51241,1
ABIDE_UCLA_1_51248,1
ABIDE_UCLA_1_51254,1
ABIDE_UCLA_1_51261,1
ABIDE_UCLA_1_51262,1
ABIDE_UCLA_1_51264,1
ABIDE_UCLA_1_51267,1
ABIDE_UCLA_1_51269,1
ABIDE_UCLA_1_51272,1
ABIDE_UCLA_1_51273,1
ABIDE_UCLA_1_51275,1
ABIDE_UCLA_1_51277,1
ABIDE_UCLA_1_51279,1
ABIDE_UCLA_1_51280,0.5
ABIDE_UCLA_2_51291,1
ABIDE_UCLA_2_51293,1
ABIDE_UCLA_2_51294,1
ABIDE_UCLA_2_51298,1
ABIDE_UCLA_2_51300,1
ABIDE_UCLA_2_51303,1
ABIDE_UCLA_2_51306,1
ABIDE_UCLA_2_51307,1
ABIDE_UCLA_2_51308,1
ABIDE_UCLA_2_51311,1
ABIDE_UCLA_2_51313,1
ABIDE_UCLA_2_51315,1
ABIDE_UM_1_50273,1
ABIDE_UM_1_50275,0.5
ABIDE_UM_1_50276,1
ABIDE_UM_1_50279,1
ABIDE_UM_1_50280,1
ABIDE_UM_1_50282,1
