Subject_ID,FINAL_MOTION_QC
51456,1.25
51457,1
51458,1.25
51459,1.25
51460,1.25
51461,1
51462,1.25
51463,1.75
51464,1.25
51465,1.25
51466,1.25
51467,1.25
51468,1.25
51469,1.5
51470,1.25
51471,1
51472,1.25
51473,1.25
51474,1
51475,1
51476,1.25
51477,1.25
51478,1.25
51479,1.25
51480,1
51481,1
51482,1
51483,1
51484,1
51485,1
51486,1.25
51487,1
51488,1.25
51489,1
51490,1.25
51491,1.25
51492,1.25
51493,1.25
50642,1.5
50643,1.25
50644,2
50645,1
50646,1
50647,1
50648,1
50649,1
50650,1
50651,1
50652,1
50653,1
50654,1
50655,2
50656,1
50657,1
50658,1
50659,1.5
50660,1.25
50661,1
50663,1.5
50664,1
50665,1
50666,1
50667,2
50668,1.25
50669,1.25
BNI_1_29006,NA
BNI_1_29007,NA
BNI_1_29008,NA
BNI_1_29009,NA
BNI_1_29010,NA
BNI_1_29011,NA
BNI_1_29012,NA
BNI_1_29013,NA
BNI_1_29014,NA
BNI_1_29015,NA
BNI_1_29016,NA
BNI_1_29017,NA
BNI_1_29018,NA
BNI_1_29019,NA
BNI_1_29020,NA
BNI_1_29021,NA
BNI_1_29022,NA
BNI_1_29023,NA
BNI_1_29024,NA
BNI_1_29025,NA
BNI_1_29026,NA
BNI_1_29027,NA
BNI_1_29028,NA
BNI_1_29029,NA
BNI_1_29030,NA
BNI_1_29031,NA
BNI_1_29032,NA
BNI_1_29033,NA
BNI_1_29034,NA
BNI_1_29035,NA
BNI_1_29036,NA
BNI_1_29037,NA
BNI_1_29038,NA
BNI_1_29039,NA
BNI_1_29040,NA
BNI_1_29041,NA
BNI_1_29042,NA
BNI_1_29043,NA
BNI_1_29044,NA
BNI_1_29045,NA
BNI_1_29046,NA
BNI_1_29047,NA
BNI_1_29048,NA
BNI_1_29049,NA
BNI_1_29050,NA
BNI_1_29051,NA
BNI_1_29052,NA
BNI_1_29053,NA
BNI_1_29054,NA
BNI_1_29055,NA
BNI_1_29056,NA
BNI_1_30144,NA
BNI_1_30146,NA
BNI_1_30147,NA
BNI_1_30148,NA
BNI_1_30149,NA
BNI_1_30150,NA
BNI_1_30151,NA
EMC_1_29864,NA
EMC_1_29865,NA
EMC_1_29866,NA
EMC_1_29867,NA
EMC_1_29868,NA
EMC_1_29869,NA
EMC_1_29870,NA
EMC_1_29871,NA
EMC_1_29872,NA
EMC_1_29873,NA
EMC_1_29874,NA
EMC_1_29875,NA
EMC_1_29876,NA
EMC_1_29877,NA
EMC_1_29878,NA
EMC_1_29879,NA
EMC_1_29880,NA
EMC_1_29881,NA
EMC_1_29882,NA
EMC_1_29883,NA
EMC_1_29884,NA
EMC_1_29885,NA
EMC_1_29886,NA
EMC_1_29887,NA
EMC_1_29888,NA
EMC_1_29889,NA
EMC_1_29890,NA
EMC_1_29891,NA
EMC_1_29892,NA
EMC_1_29893,NA
EMC_1_29894,NA
EMC_1_29895,NA
EMC_1_29896,NA
EMC_1_29897,NA
EMC_1_29898,NA
EMC_1_29899,NA
EMC_1_29900,NA
EMC_1_29901,NA
EMC_1_29902,NA
EMC_1_29903,NA
EMC_1_29904,NA
EMC_1_29905,NA
EMC_1_29906,NA
EMC_1_29907,NA
EMC_1_29908,NA
EMC_1_29909,NA
EMC_1_29910,NA
EMC_1_29911,NA
EMC_1_29912,NA
EMC_1_29913,NA
EMC_1_29914,NA
EMC_1_29915,NA
EMC_1_29916,NA
EMC_1_29917,NA
ETH_1_29057,NA
ETH_1_29058,NA
ETH_1_29059,NA
ETH_1_29060,NA
ETH_1_29062,NA
ETH_1_29063,NA
ETH_1_29064,NA
ETH_1_29065,NA
ETH_1_29066,NA
ETH_1_29067,NA
ETH_1_29068,NA
ETH_1_29069,NA
ETH_1_29070,NA
ETH_1_29071,NA
ETH_1_29072,NA
ETH_1_29073,NA
ETH_1_29074,NA
ETH_1_29075,NA
ETH_1_29076,NA
ETH_1_29077,NA
ETH_1_29078,NA
ETH_1_29079,NA
ETH_1_29080,NA
ETH_1_29081,NA
ETH_1_29082,NA
ETH_1_29083,NA
ETH_1_29084,NA
ETH_1_29085,NA
ETH_1_29086,NA
ETH_1_29087,NA
ETH_1_29088,NA
ETH_1_29089,NA
ETH_1_29090,NA
ETH_1_29091,NA
ETH_1_29092,NA
ETH_1_29093,NA
ETH_1_29094,NA
GU_1_28741,2.5
GU_1_28742,2
GU_1_28743,1.25
GU_1_28744,2
GU_1_28745,3
GU_1_28746,2.5
GU_1_28747,2
GU_1_28748,1.25
GU_1_28749,2
GU_1_28750,2
GU_1_28751,2
GU_1_28752,3
GU_1_28753,2
GU_1_28754,3
GU_1_28755,2.5
